floor-busy-01	IMG_1849.JPG	2:1	south	75	640,1280,1920
floor-wide-crowd	IMG_3989.HEIC	2:1	south	78	640,1280
badge-handoff	IMG_9901.HEIC	4:5	center	78	640,1280
checkin-kiosk	IMG_9879.HEIC	4:5	center	78	640,1280
session-full	IMG_1847.JPG	4:5	center	72	640,1280
booth-staffed	IMG_3963.HEIC	4:5	center	78	640,1280
awards-stage	IMG_4010.HEIC	4:5	south	78	640,1280
registration-desk	IMG_9887.HEIC	4:5	center	70	640,1280
still-life-brochures	IMG_1848.JPG	1:1	center	78	640,1280
arc-flash-hood	IMG_9893.HEIC	4:5	center	72	640,1280
crowd-conversation	IMG_3985.HEIC	4:5	center	78	640,1280
kit-in-field	IMG_1861.JPG	4:5	center	74	640,1280
